city,title,price,location,area,building_area,bedrooms,bathrooms,garage
surabaya,Rumah Premium Murah Industrial 2 Lt Citraland Depan Dekat Pakuwon,"Rp 5,8 Miliar","Citraland, Surabaya",: 210 m²,: 335 m²,5,5,2
surabaya,"Rumah Baru 2 Lt Murah Citraland North West Lake Surabaya Rumah Minimalis, Hdp Selatan Rumah di NORTH WEST LAKE Blok NF
NORTH CITRALAND
SURABAYA, Citraland","Rp 1,19 MiliarRp 1.2MHEMAT 30 Jutaan","Citraland, Surabaya",: 72 m²,: 69 m²,2,2,1
surabaya,Harga Damai Rumah Bagus Lokasi Dekat Wiyung Bangunan Premium,"Rp 1,12 Miliar","Wiyung, Surabaya",: 108 m²,: 125 m²,4,2,2
surabaya,Citraland. Cluster Kingstown. Minimalis.,"Rp 3,8 MiliarRp 4.2MHEMAT 400 Jutaan","Citraland, Surabaya",: 205 m²,: 260 m²,4,2,
surabaya,Dijual Rumah Greenwood Citraland,Rp 3 Miliar,"Citraland, Surabaya",: 210 m²,: 265 m²,4,5,
surabaya,Rumah Mewah 2 Lantai Perum Penjaringan Sari Merr Dekat Upn,Rp 770 JutaRp 880 JutaHEMAT 110 Jutaan,"Rungkut, Surabaya",: 40 m²,: 60 m²,2,2,2
surabaya,Rumah Mewah 2 Lantai Perumahan Dekat Transmart Rungkut Kampus Ubaya,"Rp 1,2 MiliarRp 1.2MHEMAT 30 Jutaan","Rungkut, Surabaya",: 75 m²,: 90 m²,3,2,2
surabaya,Rumah Mewah 2 Lantai Perumahan Rungkut Mapan,Rp 795 Juta,"Rungkut, Surabaya",: 50 m²,: 70 m²,3,2,2
surabaya,Rumah Mewah 2 Lantai Perum Rungkut Asri Barat,"Rp 1,35 Miliar","Rungkut, Surabaya",: 60 m²,: 75 m²,3,3,
surabaya,Rumah Cantik Dan Luas Wiguna,Rp 850 Juta,"Rungkut, Surabaya",: 107 m²,: 150 m²,4,2,1
surabaya,RUMAH SIAP HUNI FURNISHED DI VILLA BUKIT REGENCY PAKUWON INDAH,"Rp 7,73 Miliar","Pakuwon Indah, Surabaya",: 275 m²,: 400 m²,4,4,2
surabaya,MURAH LUAR CLUSTER Rumah Citraland Northwest Park Posisi Hook,"Rp 1,6 Miliar","Citraland, Surabaya",: 120 m²,: 100 m²,3,2,1
surabaya,"RUMAH SIAP HUNI DI ROYAL RESIDENCE, WIYUNG SURABAYA BARAT","Rp 6,5 Miliar","Wiyung, Surabaya",: 375 m²,: 450 m²,4,5,2
surabaya,Jual Rumah harga murah terbaru Rungkut Surabaya Timur,"Rp 2,55 Miliar","Rungkut, Surabaya",: 201 m²,: 220 m²,4,3,1
surabaya,"Rumah Bukit Palma Citraland Utara dekat Wiyung, Pakuwon Surabaya",Rp 690 Juta,"Citraland, Surabaya",: 60 m²,: 60 m²,2,1,
surabaya,"Rumah 2 Kamar di Gunung Anyar, Dekat MERR dan UPN",Rp 525 Juta,"Rungkut, Surabaya",: 72 m²,: 36 m²,2,1,1
surabaya,Rumah Bukit Golf Internasional Citraland Surabaya Semi Furnish Hadap Utara,Rp 11 Miliar,"Citraland, Surabaya",: 300 m²,: 500 m²,5,6,2
surabaya,"Rumah Siap Huni, 2,5 Lantai Di Griya Kebraon Maharaja Village Dalam Cluster One Gate","Rp 1,55 Miliar","Wiyung, Surabaya",: 105 m²,: 195 m²,4,3,
surabaya,Lelang Rumah Citraland Depan International Village,"Rp 2,52 MiliarRp 2.8MHEMAT 231 Jutaan","Citraland, Surabaya",: 210 m²,: 300 m²,4,2,
surabaya,Raya Bukit Golf Hit Tanah Golf View Samping,Rp 36 Miliar,"Citraland, Surabaya",: 1858 m²,: 350 m²,4,3,
surabaya,Jual Rumah Minimalis Siap Huni Dekat Mall & Rs,"Rp 1,2 Miliar","Wiyung, Surabaya",: 108 m²,: 102 m²,4,2,1
surabaya,Dijual Via Lelang Rumah Komplek Villa Valensia Sambikerep Surabaya,"Rp 1,42 Miliar","Wiyung, Surabaya",: 158 m²,: 100 m²,3,2,1
surabaya,Dijual Rumah Mewah Murah Woodland Citraland Surabaya.,"Rp 5,7 Miliar","Citraland, Surabaya",: 210 m²,: 360 m²,4,4,2
surabaya,Rumah 2 Lantai Lokasi Dekat Wiyung Dan Jalan Mastrip,"Rp 1,59 Miliar","Wiyung, Surabaya",: 90 m²,: 92 m²,3,2,1
surabaya,Rumah Di Ploso Timur Surabaya Dekat Komersial Area,Rp 600 Juta,"Surabaya Kota, Surabaya",: 48 m²,: 96 m²,3,1,1
surabaya,Rumah Cantik Nan Mewah Ada Kolam Renang Nya Di Royal Residen Surabaya,"Rp 7,5 Miliar","Wiyung, Surabaya",: 425 m²,: 450 m²,5,5,5
surabaya,Rumah Minimalus Siap Hunu Dekat Sekolah Citra Berkat,Rp 730 JutaRp 800 JutaHEMAT 70 Jutaan,"Citraland, Surabaya",: 60 m²,: 55 m²,2,1,1
surabaya,Dijual Rumah Mewah Full Furnished Lokasi Pakis Surabaya,"Rp 19,9 Miliar","Surabaya Kota, Surabaya",: 1030 m²,: 1300 m²,7,6,2
surabaya,Dijual Rumah Mewah Lokasi Graha Family Lengkap Dengan Pool Dan Semi Furnished,"Rp 43,5 Miliar","Surabaya Kota, Surabaya",: 900 m²,: 850 m²,5,5,1
surabaya,Dijual Rumah Mewah Baru Lokasi Cokroaminoto Surabaya,"Rp 17,5 Miliar","Surabaya Kota, Surabaya",: 580 m²,: 750 m²,6,8,2
surabaya,Dijual Via Lelang Rumah Lokasi Citraland International Village Surabaya,"Rp 2,53 Miliar","Citraland, Surabaya",: 210 m²,: 150 m²,3,2,1
surabaya,Rumah 2 Lantai SHM Murah Wonorejo Rungkut,Rp 587 Juta,"Rungkut, Surabaya",: 60 m²,: 64 m²,3,2,
surabaya,Rumah Modern Angsuran Murah Surabaya Barat,Rp 795 Juta,"Citraland, Surabaya",: 55 m²,: 65 m²,3,2,1
