city,title,price,location,area,building_area,bedrooms,bathrooms,garage
makassar,Dijual Cepat Rumah Dengan Tanah Yang Luas Di Tengah Kota Makassar Dekat Dari Mall. Sekolah. Dan Lainya,"Rp 1,2 Miliar","Paropo, Makassar",: 300 m²,: 85 m²,6,4,
makassar,Rumah 1 Lantai Daerah Sungguminasa,Rp 420 Juta,"Sombaopu, Makassar",: 73 m²,: 36 m²,2,1,1
makassar,Dijual Cepat Rumah Perum Bukit Khatulistiwa 2,"Rp 1,3 Miliar","Sudiang Raya, Makassar",: 195 m²,: 168 m²,3,2,2
makassar,Rumah Luas 1000 Mtr2 Di Pusat Kota Makassar,Rp 10 Miliar,"Urip Sumoharjo, Makassar",: 1000 m²,: 650 m²,8,3,3
makassar,Rumah 2 Lantai Asri Dan Sejuk Di Makassar,"Rp 1,2 Miliar","Borong, Makassar",: 98 m²,: 88 m²,3,2,
makassar,Rumah Mewah Dimakassar Jalan Metro Tanjung Bunga,"Rp 3,77 Miliar","Makassar, Makassar",: 168 m²,: 190 m²,4,4,2
makassar,Rumah Siap Huni Dimakassar Dekat Rumah Sakit Unismuh,Rp 450 Juta,"Makassar, Makassar",: 84 m²,: 50 m²,2,2,2
makassar,Rumah 3 Lantai Jalan Pettarani Makassar Dekat Kampus Unm,"Rp 4,56 Miliar","Makassar, Makassar",: 234 m²,: 378 m²,4,4,1
makassar,Rumah Murah 3 Lantai Jalan Hertasning Makassar,"Rp 3,2 Miliar","Makassar, Makassar",: 192 m²,: 300 m²,5,5,1
makassar,"Dijual Rumah 1,5 Lantai Lokasi Kompleks Perumahan Ratulangi","Rp 1,5 Miliar","Makassar, Makassar",: 84 m²,: 110 m²,3,3,1
makassar,Dijual Rumah Siap Huni 2 Lantai Lokasi Strategis,"Rp 1,65 Miliar","Makassar, Makassar",: 78 m²,: 132 m²,3,2,2
makassar,Dijual Rumah 2 Lantai Full Renovasi Rumah,"Rp 1,6 Miliar","Makassar, Makassar",: 62 m²,: 120 m²,3,2,1
makassar,Dijual Cepat Rumah 2 Lantai Perumahan Cluster Green River View Marigold Barombong Tanjung Bunga Makassar SHM,"Rp 1,5 Miliar","Makassar, Makassar",: 90 m²,: 120 m²,2,2,2
makassar,Dijual Rumah 2lt Cluster Akasia Tallasa City Siap Huni Strategis,"Rp 1,3 Miliar","Biring Kanaya, Makassar",: 144 m²,: 240 m²,3,2,3
makassar,Dijual Rumah 1LT The Clove Garden Siap Pakai Minimalis Harga Nego,"Rp 1,35 Miliar","Tanjung Merdeka, Makassar",: 144 m²,: 120 m²,3,2,1
makassar,Rumah Ready Hertasning Baru Makassar - Gowa,Rp 850 Juta,"Makassar, Makassar",: 78 m²,: 85 m²,3,3,1
makassar,Rumah Citraland Celebes Hertasning Gowa Batas Makassar,"Rp 2,1 Miliar","Makassar, Makassar",: 105 m²,: 86 m²,3,3,2
makassar,Dijual Rumah Siap Huni Citraland Cpi Makassar – Treasure Island,"Rp 4,16 Miliar","Makassar, Makassar",: 102 m²,: 125 m²,4,4,1
makassar,Dijual Rumah Siap Huni Di Green Villa Lokasi Tengah Kota Makassar,"Rp 1,97 Miliar","Makassar, Makassar",: 87 m²,: 143 m²,3,2,2
makassar,Dp 0% Ambani Residenza Bandara - Free Biaya Biaya,Rp 496 Juta,"Makassar, Makassar",: 60 m²,: 50 m²,2,1,1
makassar,Rumah Dp 25 Juta Free Biaya Biaya Di Makassar,"Rp 1,07 Miliar","Minasa Upa, Makassar",: 78 m²,: 87 m²,3,2,1
makassar,Rumah Baru Fasilitas Lengkap Samping Tol Hanya 1 Menit Ke Bandara Sultan Hasanuddin Makassar,Rp 900 JutaRp 998 JutaHEMAT 98 Jutaan,"Biring Kanaya, Makassar",: 72 m²,: 82 m²,4,2,1
makassar,Dijual Rumah Siap Huni Dijl Raya Pendidikan Makassar (fl),Rp 3 Miliar,"Rappocini, Makassar",: 130 m²,: 135 m²,5,3,1
makassar,"Rumah Mewah Jalan Pettarani. Tipe 230. 3 Lantai, 5 Kamar.","Rp 4,05 Miliar","Makassar, Makassar",: 120 m²,: 230 m²,5,4,1
makassar,"Rumah 2 Lantai Fasilitas Lengkap. Parumpa Daya. Harga Mulai 1,3 M","Rp 1,38 Miliar","Biring Kanaya, Makassar",: 84 m²,: 63 m²,2,2,1
makassar,RUMAH MEWAH SIAP HUNI SEMI FURNISH DI LANDAK MAKASSAR. UK 10x15.,"Rp 2,99 Miliar","Rappocini, Makassar",: 160 m²,: 250 m²,5,4,1
makassar,Rumah 2 Lantai Bagus Free Furnished Ac Lokasi Tengah Kota Btn Tabaria Sultan Alaudin Makassar,Rp 675 Juta,"Tamalate, Makassar",: 75 m²,: 80 m²,2,2,
makassar,Rumah Mewah Mappaodang Makassar. Tanah 10x14 Sudut. Kamar 4+1.,"Rp 2,75 Miliar","Makassar, Makassar",: 135 m²,: 173 m²,4,4,2
makassar,Rumah 2 Lantai Poros Ir Sutami Makassar Tipe 72 82 Free All Biaya biaya,Rp 998 Juta,"Biring Kanaya, Makassar",: 72 m²,: 82 m²,4,3,2
makassar,Rumah Siap Huni Citraland Tallasa. Ukuran 9x15. 4+1 Kamar Tidur.,"Rp 2,5 Miliar","Makassar, Makassar",: 135 m²,: 148 m²,4,4,2
makassar,Rumah Mewah Kumala Makassar Free Kitchen Set. Tipe 315m2. Uk 9x16,"Rp 4,97 Miliar","Makassar, Makassar",: 144 m²,: 315 m²,4,4,2
makassar,RUMAH 2 LANTAI DEKAT URIP & PETTARANI MAKASSAR. 4 KAMAR. UK 6x14.,"Rp 1,17 Miliar","Panakkukang, Makassar",: 84 m²,: 110 m²,4,2,2
makassar,Rumah 122m2 Di Alaudin Tengah Kota. 3 Kamar Tidur. Free Ac.,"Rp 1,1 Miliar","Tamalate, Makassar",: 122 m²,: 118 m²,3,2,2
makassar,Rumah Ready Citra Garden Gowa Type 8×15 Dekat Makassar,"Rp 1,38 MiliarRp 1.5MHEMAT 120 Jutaan","Makassar, Makassar",: 120 m²,: 91 m²,3,3,2
makassar,Rumah Dp 2 Juta Free Biaya Biaya Dimakassar,Rp 390 Juta,"Tanjung Bunga, Makassar",: 72 m²,: 36 m²,2,1,1
makassar,Rumah Murah Dimakassar Dekat Trans Studio Mall,Rp 400 Juta,"Tamalate, Makassar",: 78 m²,: 47 m²,2,1,1
makassar,Rumah Dijual Murah Tengah Kota Makassar Jalan Boulevard,"Rp 5,5 Miliar","Makassar, Makassar",: 300 m²,: 300 m²,6,5,1
makassar,Rumah 2 Lantai Di Makassar. Jalan Kompleks Tabaria,"Rp 1,35 Miliar","Tamalate, Makassar",: 108 m²,: 120 m²,3,3,2
makassar,Rumah Mewah Murah Di Citraland Tallasacity,"Rp 6,6 Miliar","Biring Kanaya, Makassar",: 300 m²,: 368 m²,5,5,3
makassar,Rumah Tua di Jalan Titang,"Rp 3,2 MiliarRp 3.5MHEMAT 300 Jutaan","Makassar, Makassar",: 498 m²,: 350 m²,2,,
makassar,Dijual Rumah Baru Harga Terjangkau di Makassar Tipe Mezanin,Rp 630 Juta,"Panakkukang, Makassar",: 60 m²,: 48 m²,2,1,1
makassar,Permata Hijau Lestari. 8 X 15.,Rp 625 JutaRp 750 JutaHEMAT 125 Jutaan,"Hertasning, Makassar",: 120 m²,: 90 m²,2,1,2
makassar,Rumah 2 Lantai Dijual Kondisi Baru Fasilitas Lengkap Ada Clubhouse,Rp 990 Juta,"Tamalanrea, Makassar",: 72 m²,: 82 m²,4,3,1
makassar,Jual Rumah Baru 2 Lantai Dekat Bandara Sultan Hasanuddin Makassar,Rp 990 Juta,"Makassar, Makassar",: 72 m²,: 82 m²,4,3,1
makassar,Rumah Bagus Modern 2 Lantai Kondisi Baru di Makassar,Rp 990 Juta,"Panakkukang, Makassar",: 72 m²,: 82 m²,4,3,1
makassar,Rumah Murah di Makassar Tipe Loft/Mezzanine/Satu Setengah Tingkat,Rp 630 Juta,"Makassar, Makassar",: 60 m²,: 48 m²,3,1,1
makassar,For Sale Rumah 2 Lantai dengan 4 Kamar Tidur Kondisi Baru,Rp 990 Juta,"Biring Kanaya, Makassar",: 72 m²,: 82 m²,4,3,1
makassar,Rumah Dijual Modern Tipe Mezanin 2 Kamar di Makassar,Rp 630 Juta,"Tanjung Bunga, Makassar",: 60 m²,: 48 m²,2,1,1
makassar,Rumah Baru di Makassar 2 Lantai Ada Fasilitas Clubhouse,Rp 990 Juta,"Tanjung Bunga, Makassar",: 72 m²,: 82 m²,4,3,1
makassar,Hunian Nyaman Mezanin Paling Dicari di Makassar 2 Kamar Tidur,Rp 630 Juta,"Tamalate, Makassar",: 60 m²,: 48 m²,2,1,1
makassar,Rumah Mewah Komp.chrysant Panakkukang Makassar,"Rp 8,9 Miliar","Makassar, Makassar",: 500 m²,: 1000 m²,5,5,1
makassar,Rumah 2 lantai di jl.hertasning lama makassar,Rp 5 Miliar,"Panakkukang, Makassar",: 360 m²,: 300 m²,5,5,
makassar,Rumah Mewah Pusat Kota Makassar Full Dursnished,Rp 10 Miliar,"Panakkukang, Makassar",: 500 m²,: 800 m²,5,5,4
gowa,Dijual Rumah 1LT Citra Garden Cluster Golden Tulip + Furnish Nego,Rp 600 Juta,"Somba Opu, Gowa",: 72 m²,: 40 m²,2,1,1
gowa,Rumah Grand Gowa Property Free Biaya Bphtb Ajb Balik Nama Free Pagar Kanopi,Rp 350 Juta,"Pallangga, Gowa",: 87 m²,: 57 m²,2,2,1
gowa,"Dijual Rumah Baru, Montana Dijl Mustafa Dg Bunga",Rp 725 Juta,"Somba Opu, Gowa",: 78 m²,: 45 m²,2,1,1
gowa,Rumah 2 Lantai Siap Huni. Dp 0%. 3 Kamar. Dekat Alaudin Makassar,"Rp 1,05 Miliar","Somba Opu, Gowa",: 66 m²,: 65 m²,3,3,2
gowa,Rumah 2 Lantai Siap Huni Citra Garden Ciputra. Uk 8x15. 3 Kamar.,"Rp 1,52 Miliar","Somba Opu, Gowa",: 91 m²,: 120 m²,3,3,2
gowa,RUMAH CITRA GARDEN. FASILITAS LENGKAP. 8x15. FREE PPN 144 JT.,"Rp 1,52 Miliar","Somba Opu, Gowa",: 120 m²,: 93 m²,3,3,2
gowa,RUMAH SIAP HUNI FURNISH DEKAT KANTOR BUPATI GOWA. 3 KAMAR TIDUR,"Rp 1,29 Miliar","Somba Opu, Gowa",: 84 m²,: 75 m²,3,2,
gowa,Rumah Siap Huni Citraland Celebes. Terawat Semi Furnish. Uk 10x20,"Rp 2,95 Miliar","Somba Opu, Gowa",: 200 m²,: 225 m²,4,4,2
gowa,Rumah Modern Premium Type Elegante Boulevard Citra Garden Gowa Promo Ac Kanopi Subsidi Biaya2,"Rp 1,52 Miliar","Somba Opu, Gowa",: 120 m²,: 91 m²,3,3,1
gowa,Dijual Rumah 2LT Modern Estate Siap Huni Strategis Nego SN,"Rp 1,2 Miliar","Somba Opu, Gowa",: 108 m²,: 80 m²,3,3,1
gowa,Dijual Rumah 1LT Citraland Celebes Maroon Vogue Siap Huni Nego ET,"Rp 3,2 Miliar","Somba Opu, Gowa",: 120 m²,: 96 m²,4,3,1
gowa,Dijual Rumah 1LT Area Gowa Perum Bukit Tamarunang Siap Huni CR,Rp 450 Juta,"Somba Opu, Gowa",: 72 m²,: 54 m²,2,1,1
